topic	rank	word	score
0	1	lack	0.034365322440862656
0	2	meter	0.02761601284146309
0	3	unresolved	0.026044748723506927
0	4	remains	0.024835705757141113
0	5	frustrated	0.022974893450737
0	6	issues	0.02284209243953228
0	7	issue	0.021437644958496094
0	8	resolution	0.02135031297802925
0	9	bills	0.0205591581761837
0	10	experiencing	0.02010328695178032
1	1	billing	0.03614840656518936
1	2	seeking	0.03516111522912979
1	3	charges	0.032338697463274
1	4	unclear	0.031843964010477066
1	5	issues	0.031604040414094925
1	6	resolution	0.0284460186958313
1	7	frustrated	0.026084428653120995
1	8	payment	0.024661431089043617
1	9	dissatisfaction	0.02229429967701435
1	10	clarification	0.020057162269949913
2	1	confirming	0.15515145659446716
2	2	resulting	0.15515145659446716
2	3	reading	0.13448190689086914
2	4	usual	0.13448190689086914
2	5	technician	0.1223909854888916
2	6	due	0.10715822875499725
2	7	higher	0.08963051438331604
2	8	customer	0.00046432638191618025
2	9	consumption	0.0002981986035592854
2	10	billing	0.0002981986035592854
3	1	six	0.1303369700908661
3	2	thousand	0.1303369700908661
3	3	dirhams	0.1303369700908661
3	4	facing	0.11297325044870377
3	5	assistance	0.09001965075731277
3	6	which	0.07529526203870773
3	7	amounts	0.07265592366456985
3	8	unexpectedly	0.06422711163759232
3	9	issue	0.052904631942510605
3	10	seeks	0.023204099386930466
4	1	jumped	0.10129784047603607
4	2	700	0.10129784047603607
4	3	200	0.10129784047603607
4	4	around	0.08780276775360107
4	5	dubai	0.07990864664316177
4	6	studio	0.07990864664316177
4	7	aed	0.069963239133358
4	8	which	0.058519452810287476
4	9	significant	0.04731752350926399
4	10	unexpected	0.037865035235881805
5	1	property	0.09747225791215897
5	2	minimal	0.08249099552631378
5	3	readings	0.07766810804605484
5	4	seek	0.07766810804605484
5	5	express	0.07766810804605484
5	6	incorrect	0.06496404856443405
5	7	suspects	0.06496404856443405
5	8	dissatisfaction	0.05874626338481903
5	9	process	0.05874626338481903
5	10	meter	0.05874626338481903
6	1	hessa	0.14003205299377441
6	2	stay	0.14003205299377441
6	3	short	0.14003205299377441
6	4	level	0.14003205299377441
6	5	residence	0.12137673795223236
6	6	questions	0.11046407371759415
6	7	unhappy	0.055643558502197266
6	8	consumption	0.030289465561509132
6	9	high	0.01892445795238018
6	10	bill	0.012327248230576515
7	1	deposits	0.214628204703331
7	2	security	0.214628204703331
7	3	policy	0.214628204703331
7	4	refund	0.214628204703331
7	5	dissatisfaction	0.00041253160452470183
7	6	seeks	0.0004125119303353131
7	7	charges	0.0004125119303353131
7	8	clarification	0.0004125119303353131
7	9	consumption	0.0004125119303353131
7	10	billing	0.0004125119303353131
8	1	small	0.14114409685134888
8	2	living	0.14114409685134888
8	3	accuracy	0.12234063446521759
8	4	questions	0.11134131252765656
8	5	studio	0.11134131252765656
8	6	readings	0.097483791410923
8	7	bills	0.0488775335252285
8	8	despite	0.04040353745222092
8	9	consumption	0.03053000383079052
8	10	electricity	0.02402070350944996
9	1	municipality	0.09572182595729828
9	2	dubai	0.0686609223484993
9	3	assistance	0.06010498106479645
9	4	unhappy	0.051775164902210236
9	5	seeks	0.04612527787685394
9	6	further	0.043572798371315
9	7	suggests	0.043572798371315
9	8	unexplained	0.043572798371315
9	9	newly	0.043572798371315
9	10	purchased	0.043572798371315
10	1	numbers	0.08462419360876083
10	2	closed	0.08462419360876083
10	3	compare	0.08462419360876083
10	4	neighbors	0.07335040718317032
10	5	one	0.06675566732883453
10	6	having	0.06675566732883453
10	7	express	0.05844727158546448
10	8	two	0.05844727158546448
10	9	receiving	0.05548187717795372
10	10	which	0.04888713359832764
11	1	15	0.11964831501245499
11	2	moving	0.11964831501245499
11	3	days	0.10370855033397675
11	4	new	0.10370855033397675
11	5	breakdown	0.10370855033397675
11	6	requests	0.09438438713550568
11	7	after	0.0877687856554985
11	8	apartment	0.08263733237981796
11	9	verification	0.03724094107747078
11	10	consumption	0.02588038332760334
12	1	aed	0.1262299120426178
12	2	65	0.09150972962379456
12	3	risen	0.09150972962379456
12	4	600	0.09150972962379456
12	5	usually	0.07931864261627197
12	6	around	0.07931864261627197
12	7	has	0.07218731194734573
12	8	discrepancy	0.06320289522409439
12	9	which	0.05286489054560661
12	10	significant	0.04274537414312363
13	1	checking	0.08269567787647247
13	2	eight	0.08269567787647247
13	3	seven	0.08269567787647247
13	4	leaks	0.07167881727218628
13	5	past	0.06523436307907104
13	6	email	0.06523436307907104
13	7	problem	0.06066194549202919
13	8	resolve	0.06066194549202919
13	9	assistance	0.057115308940410614
13	10	months	0.057115308940410614
14	1	cost	0.2567509710788727
14	2	expresses	0.2567509710788727
14	3	dissatisfaction	0.13412795960903168
14	4	dewa	0.1265210658311844
14	5	high	0.03469828888773918
14	6	bill	0.022602200508117676
14	7	customer	0.0007683862349949777
14	8	clarification	0.0004934712196700275
14	9	consumption	0.0004934712196700275
14	10	billing	0.0004934712196700275
15	1	paid	0.029021942988038063
15	2	charge	0.024112705141305923
15	3	issue	0.01987278275191784
15	4	may	0.019355831667780876
15	5	aed	0.01694387197494507
15	6	indicating	0.01694387197494507
15	7	received	0.014724661596119404
15	8	resolved	0.01228337362408638
15	9	within	0.01228337362408638
15	10	electric	0.01228337362408638
16	1	payment	0.1011534333229065
16	2	latest	0.08769474923610687
16	3	bank	0.08769474923610687
16	4	plan	0.08769474923610687
16	5	verify	0.07601190358400345
16	6	check	0.07601190358400345
16	7	expected	0.06432904303073883
16	8	status	0.060568008571863174
16	9	suspects	0.050660986453294754
16	10	higher	0.050660986453294754
17	1	whether	0.13342002034187317
17	2	shocked	0.13342002034187317
17	3	empty	0.13342002034187317
17	4	used	0.11564556509256363
17	5	house	0.11564556509256363
17	6	seek	0.09214901179075241
17	7	confused	0.06764671951532364
17	8	electricity	0.04515591636300087
17	9	clarification	0.027587436139583588
17	10	charges	0.026375731453299522
18	1	warehouse	0.14468295872211456
18	2	active	0.12540803849697113
